FID_main__,DN,area,perimeter,FID_Pond_W,Shape_Leng,Shape_Area,Watershed_,Percent_Pe,Percent_Im,Calc_Area,
157696,255,30.60058594,37.2,35,12791.97349,3607220.177,Manitou Pond,65.49,34.51,30.59447853,
157892,255,41.03955078,31.2,35,12791.97349,3607220.177,Manitou Pond,65.49,34.51,41.03254609,
158088,255,48.23974609,33.6,35,12791.97349,3607220.177,Manitou Pond,65.49,34.51,48.23129543,
158128,255,21.59960938,24,35,12791.97349,3607220.177,Manitou Pond,65.49,34.51,21.5960067,
158167,255,11.52001953,15.6,35,12791.97349,3607220.177,Manitou Pond,65.49,34.51,11.51792154,
158218,255,179.2805176,85.2,35,12791.97349,3607220.177,Manitou Pond,65.49,34.51,179.2486482,
158282,255,29.88012695,27.6,35,12791.97349,3607220.177,Manitou Pond,65.49,34.51,29.87460865,
158302,255,1416.962158,398.4,35,12791.97349,3607220.177,Manitou Pond,65.49,34.51,708.637977,
158377,255,21.24047852,20.4,35,12791.97349,3607220.177,Manitou Pond,65.49,34.51,21.23605305,
158440,255,109.0795898,48,35,12791.97349,3607220.177,Manitou Pond,65.49,34.51,109.0604446,
158492,255,7.199951172,13.2,35,12791.97349,3607220.177,Manitou Pond,65.49,34.51,7.198738425,
158530,255,17.63989258,22.8,35,12791.97349,3607220.177,Manitou Pond,65.49,34.51,17.63690701,
158581,255,133.5593262,63.6,35,12791.97349,3607220.177,Manitou Pond,65.49,34.51,133.5360292,
158588,255,106.9204102,57.6,35,12791.97349,3607220.177,Manitou Pond,65.49,34.51,106.9007067,
158622,255,4.319824219,9.600000001,35,12791.97349,3607220.177,Manitou Pond,65.49,34.51,4.319214573,
158730,255,24.83984375,22.8,35,12791.97349,3607220.177,Manitou Pond,65.49,34.51,24.83551296,
158831,255,186.8388672,88.8,35,12791.97349,3607220.177,Manitou Pond,65.49,34.51,186.8060506,
158912,255,19.07958984,25.2,35,12791.97349,3607220.177,Manitou Pond,65.49,34.51,19.07648125,
159039,255,26.63989258,26.4,35,12791.97349,3607220.177,Manitou Pond,65.49,34.51,26.63507346,
159070,255,461.519043,139.2,35,12791.97349,3607220.177,Manitou Pond,65.49,34.51,461.436218,
159133,255,12.60009766,16.8,35,12791.97349,3607220.177,Manitou Pond,65.49,34.51,12.59769497,
159175,255,20.88012695,21.6,35,12791.97349,3607220.177,Manitou Pond,65.49,34.51,20.87622817,
159301,255,36.7199707,30,35,12791.97349,3607220.177,Manitou Pond,65.49,34.51,36.71337799,
159347,255,12.60009766,16.8,35,12791.97349,3607220.177,Manitou Pond,65.49,34.51,12.59779079,
159352,255,72.36010742,43.2,35,12791.97349,3607220.177,Manitou Pond,65.49,34.51,72.34683544,
159365,255,89.64013672,69.6,35,12791.97349,3607220.177,Manitou Pond,65.49,34.51,89.62427196,
159373,255,445.6804199,145.2,35,12791.97349,3607220.177,Manitou Pond,65.49,34.51,445.5991109,
159390,255,33.47998047,28.8,35,12791.97349,3607220.177,Manitou Pond,65.49,34.51,33.47409695,
159436,255,13.3203125,18,35,12791.97349,3607220.177,Manitou Pond,65.49,34.51,13.31766432,
159442,255,619.5603027,208.8,35,12791.97349,3607220.177,Manitou Pond,65.49,34.51,230.6921898,
159481,255,93.96044922,55.2,35,12791.97349,3607220.177,Manitou Pond,65.49,34.51,93.94297885,
159482,255,81.7199707,44.4,35,12791.97349,3607220.177,Manitou Pond,65.49,34.51,81.70526819,
159515,255,16.55957031,19.2,35,12791.97349,3607220.177,Manitou Pond,65.49,34.51,16.55699555,
159525,255,20.51953125,22.8,35,12791.97349,3607220.177,Manitou Pond,65.49,34.51,20.51640324,
159546,255,30.9597168,25.2,35,12791.97349,3607220.177,Manitou Pond,65.49,34.51,30.9543969,
159554,255,41.39990234,31.2,35,12791.97349,3607220.177,Manitou Pond,65.49,34.51,41.39270624,
159604,255,13.32006836,16.8,35,12791.97349,3607220.177,Manitou Pond,65.49,34.51,13.31758995,
159657,255,34.55932617,30,35,12791.97349,3607220.177,Manitou Pond,65.49,34.51,34.55378815,
159666,255,133.9199219,60,35,12791.97349,3607220.177,Manitou Pond,65.49,34.51,133.8960273,
159699,255,407.8793945,139.2,35,12791.97349,3607220.177,Manitou Pond,65.49,34.51,407.8068131,
159713,255,40.67919922,30,35,12791.97349,3607220.177,Manitou Pond,65.49,34.51,40.67262728,
159727,255,379.4384766,138,35,12791.97349,3607220.177,Manitou Pond,65.49,34.51,379.3710627,
159739,255,37.44067383,49.2,35,12791.97349,3607220.177,Manitou Pond,65.49,34.51,37.43308342,
159740,255,21.6003418,21.6,35,12791.97349,3607220.177,Manitou Pond,65.49,34.51,21.59602439,
159785,255,6126.115234,1315.2,35,12791.97349,3607220.177,Manitou Pond,65.49,34.51,410.2316369,
159788,255,158.0402832,64.8,35,12791.97349,3607220.177,Manitou Pond,65.49,34.51,158.0113292,
159806,255,16.20043945,19.2,35,12791.97349,3607220.177,Manitou Pond,65.49,34.51,16.19703658,
159820,255,14.39941406,19.2,35,12791.97349,3607220.177,Manitou Pond,65.49,34.51,14.39737845,
159833,255,372.5993652,142.8,35,12791.97349,3607220.177,Manitou Pond,65.49,34.51,372.5343403,
159845,255,643.6777344,243.6,35,12791.97349,3607220.177,Manitou Pond,65.49,34.51,643.5641424,
159867,255,556.1999512,208.8,35,12791.97349,3607220.177,Manitou Pond,65.49,34.51,556.0992907,
159885,255,9,13.2,35,12791.97349,3607220.177,Manitou Pond,65.49,34.51,8.998368494,
159953,255,220.6799316,75.6,35,12791.97349,3607220.177,Manitou Pond,65.49,34.51,220.6401972,
160026,255,274.3200684,141.6,35,12791.97349,3607220.177,Manitou Pond,65.49,34.51,274.2704427,
160029,255,5.400634766,12,35,12791.97349,3607220.177,Manitou Pond,65.49,34.51,5.399007004,
160035,255,1083.598389,295.2,35,12791.97349,3607220.177,Manitou Pond,65.49,34.51,1083.397023,
160037,255,155.8793945,78,35,12791.97349,3607220.177,Manitou Pond,65.49,34.51,155.8518748,
160097,255,28.44018555,31.2,35,12791.97349,3607220.177,Manitou Pond,65.49,34.51,28.43488968,
160098,255,17.63989258,19.2,35,12791.97349,3607220.177,Manitou Pond,65.49,34.51,17.63684804,
160129,255,559.8005371,190.8,35,12791.97349,3607220.177,Manitou Pond,65.49,34.51,559.6986822,
